country;country_id
Afghanistan;700
Albania;339
Algeria;615
Angola;540
Argentina;160
Armenia;371
Australia;900
Austria;305
Azerbaijan;373
Bahrain;692
Bangladesh;771
Belgium;211
Benin;434
Bhutan;760
Bolivia;145
Bosnia-Herzegovina;346
Botswana;571
Brazil;140
Burkina Faso;439
Burundi;516
Cambodia (Kampuchea);811
Cameroon;471
Canada;20
Central African Republic;482
Chad;483
China;710
Colombia;100
Comoros;581
Congo;484
Croatia;344
Djibouti;522
DR Congo (Zaire);490
Ecuador;130
Egypt;651
El Salvador;92
Eritrea;531
Ethiopia;530
France;220
Gambia;420
Georgia;372
Germany;260
Ghana;452
Guatemala;90
Guinea;438
Guinea-Bissau;404
Guyana;110
Haiti;41
Honduras;91
India;750
Indonesia;850
Iran;630
Iraq;645
Israel;666
Italy;325
Ivory Coast;437
Jamaica;51
Jordan;663
Kenya;501
Kingdom of eSwatini (Swaziland);572
Kuwait;690
Kyrgyzstan;703
Laos;812
Lebanon;660
Lesotho;570
Liberia;450
Libya;620
Madagascar (Malagasy);580
Malaysia;820
Mali;432
Malta;338
Mauritania;435
Mexico;70
Moldova;359
Morocco;600
Mozambique;541
Myanmar (Burma);775
Namibia;565
Nepal;790
Netherlands;210
Nicaragua;93
Niger;436
Nigeria;475
North Macedonia;343
Pakistan;770
Panama;95
Papua New Guinea;910
Paraguay;150
Peru;135
Philippines;840
Poland;290
Qatar;694
Romania;360
Russia (Soviet Union);365
Rwanda;517
Saudi Arabia;670
Senegal;433
Serbia (Yugoslavia);345
Sierra Leone;451
Solomon Islands;940
Somalia;520
South Africa;560
South Sudan;626
Spain;230
Sri Lanka;780
Sudan;625
Sweden;380
Syria;652
Tajikistan;702
Tanzania;510
Thailand;800
Togo;461
Trinidad and Tobago;52
Tunisia;616
Turkey;640
Uganda;500
Ukraine;369
United Arab Emirates;696
United Kingdom;200
United States of America;2
Uzbekistan;704
Venezuela;101
Yemen (North Yemen);678
Zambia;551
Zimbabwe (Rhodesia);552
